ngay,muc_nuoc_ho,luu_luong_den,luu_luong_xa
01/01/2016,486.41,43.04,45.3
02/01/2016,486.45,36.96,45.3
03/01/2016,486.46,41.75,36.7
04/01/2016,486.45,35.33,42.5
05/01/2016,486.39,39.08,82.3
06/01/2016,486.29,33.33,109.6
07/01/2016,486.15,34.13,59.1
08/01/2016,486.1,34.42,50.7
09/01/2016,486.04,29.71,69.8
10/01/2016,485.95,34.5,62.4
11/01/2016,485.84,24.54,128.4
12/01/2016,485.62,29.96,97.4
13/01/2016,485.51,30.13,49.6
14/01/2016,485.44,28.17,82.5
15/01/2016,485.31,25.92,104.9
16/01/2016,485.17,36.13,63.2
17/01/2016,485.13,40.04,46.3
18/01/2016,485.1,28.25,54.2
19/01/2016,485.04,30.29,51
20/01/2016,484.99,35.04,48.9
21/01/2016,484.96,34.38,49
22/01/2016,484.9,34.63,60.3
23/01/2016,484.83,34.92,50
24/01/2016,484.8,27.25,27.2
25/01/2016,484.76,21.58,57.6
26/01/2016,484.66,14.92,43.9
27/01/2016,484.57,14.79,45.1
28/01/2016,484.48,14.83,55.2
29/01/2016,484.35,15.13,57.8
30/01/2016,484.22,14.88,58
31/01/2016,484.11,20.38,52
01/02/2016,483.99,15.42,59.7
02/02/2016,483.87,12,48
03/02/2016,483.76,12.25,52.3
04/02/2016,483.68,16.5,44.8
05/02/2016,483.63,14.04,27.2
06/02/2016,483.58,14.38,33.7
07/02/2016,483.52,14.38,41
08/02/2016,483.45,10.58,25
09/02/2016,483.41,13.42,25.5
10/02/2016,483.38,17.33,35.6
11/02/2016,483.3,16.67,46.1
12/02/2016,483.21,12.5,44
13/02/2016,483.11,12,45.4
14/02/2016,483.01,14.58,49.3
15/02/2016,482.91,19.21,48
16/02/2016,482.83,21.13,52.6
17/02/2016,482.73,20.79,54.3
18/02/2016,482.63,20.58,49.3
19/02/2016,482.55,21.96,45.7
20/02/2016,482.47,20.5,47.7
21/02/2016,482.38,20.83,73
22/02/2016,482.24,17.5,47.9
23/02/2016,482.1,19.33,97.2
24/02/2016,481.91,20.46,49.1
25/02/2016,481.81,11.21,48.4
26/02/2016,481.71,16.79,48
27/02/2016,481.62,21.67,48
28/02/2016,481.55,22.96,44.6
29/02/2016,481.48,17.67,45.6
01/03/2016,481.39,15.79,48.3
02/03/2016,481.31,32.71,45.1
03/03/2016,481.25,17.5,56.5
04/03/2016,481.13,20.58,53.3
05/03/2016,481.02,10.68,51.6
06/03/2016,480.92,25.5,56
07/03/2016,480.8,2.28,54.6
08/03/2016,480.7,29.36,50.4
09/03/2016,480.59,4.16,50.8
10/03/2016,480.48,20.93,53.2
11/03/2016,480.36,11.93,50.6
12/03/2016,480.29,20.22,51
13/03/2016,480.16,20.58,51.5
14/03/2016,480.04,1.27,50.4
15/03/2016,479.92,28.12,50.9
16/03/2016,479.82,21.14,51.4
17/03/2016,479.69,19.9,51.3
18/03/2016,479.58,22.96,52.5
19/03/2016,479.46,20.76,51.8
20/03/2016,479.37,18.62,50.8
21/03/2016,479.22,17.83,53.5
22/03/2016,479.09,18.82,51.5
23/03/2016,478.97,20.37,51.9
24/03/2016,478.83,17.01,52.1
25/03/2016,478.71,22.15,59.7
26/03/2016,478.56,21.74,65.9
27/03/2016,478.39,20.21,60.9
28/03/2016,478.22,17.66,64.4
29/03/2016,478.05,20.16,62.6
30/03/2016,477.87,5.93,69.4
31/03/2016,477.64,27.79,85.2
01/04/2016,477.42,16.4,59.4
02/04/2016,477.24,12.96,58.5
03/04/2016,477.08,4.39,55.3
04/04/2016,476.9,11.54,55.1
05/04/2016,476.69,0.07,57
06/04/2016,476.53,20.4,56.1
07/04/2016,476.39,21.24,55.5
08/04/2016,476.23,16.97,62.2
09/04/2016,476.06,14,54.6
10/04/2016,475.9,12.75,54.4
11/04/2016,475.72,8.84,56.5
12/04/2016,475.56,12.68,50.1
13/04/2016,475.42,9.17,51.3
14/04/2016,475.26,21.95,55.1
15/04/2016,475.09,10.45,55.7
16/04/2016,474.95,20.98,55.9
17/04/2016,474.77,13.59,65.7
18/04/2016,474.54,25.79,53.9
19/04/2016,474.4,24.9,64.1
20/04/2016,474.22,23.6,64.5
21/04/2016,474.03,13.82,50.7
22/04/2016,473.88,18.51,52.4
23/04/2016,473.7,21.99,52.9
24/04/2016,473.56,16.08,50.6
25/04/2016,473.39,17.13,59.1
26/04/2016,473.19,20.28,57.3
27/04/2016,473.04,17.91,51.8
28/04/2016,472.88,20.7,51.7
29/04/2016,472.74,19.22,50.7
30/04/2016,472.61,17.03,52.6
01/05/2016,472.45,21.17,54
02/05/2016,472.29,26.45,54.3
03/05/2016,472.15,24.94,62.7
04/05/2016,471.99,22.44,47.6
05/05/2016,471.9,36.1,50.1
06/05/2016,471.78,33.24,74.2
07/05/2016,471.57,24.5,75.6
08/05/2016,471.2,14.96,60.8
09/05/2016,471.2,14.96,60.8
10/05/2016,471,23.15,66.3
11/05/2016,470.8,19.58,69.7
12/05/2016,470.59,26.23,67.9
13/05/2016,470.41,32.9,60.6
14/05/2016,470.3,31.76,56.4
15/05/2016,470.19,24.97,50
16/05/2016,470.02,17.68,52.2
17/05/2016,469.87,22.24,51.1
18/05/2016,469.71,23.58,55
19/05/2016,469.56,27.28,52.2
20/05/2016,469.44,36.76,54.9
21/05/2016,469.34,33.92,54.3
22/05/2016,469.33,71.5,49.2
23/05/2016,469.49,85.1,53.7
24/05/2016,469.57,51.77,50.7
25/05/2016,469.55,41.46,50.3
26/05/2016,469.48,38.65,51.7
27/05/2016,469.43,48.45,51.5
28/05/2016,469.44,48.37,54.3
29/05/2016,469.41,32.01,23.1
30/05/2016,469.39,30.92,62.6
31/05/2016,469.26,42.9,52
01/06/2016,469.22,50.33,56.3
02/06/2016,469.2,50.2,54.5
03/06/2016,469.16,48.84,58.1
04/06/2016,469.11,44.71,53.2
05/06/2016,469.07,36.51,50.1
06/06/2016,468.94,31.27,55.8
07/06/2016,468.88,73.18,69.1
08/06/2016,468.97,88,72
09/06/2016,468.97,53.11,55.1
10/06/2016,468.9,45.49,63.9
11/06/2016,468.82,44.23,57.3
12/06/2016,468.77,44.39,47.7
13/06/2016,468.6,48.66,63.1
14/06/2016,468.6,48.66,63.1
15/06/2016,468.51,37.33,52.7
16/06/2016,468.43,35.31,53.9
17/06/2016,468.34,41.67,55.6
18/06/2016,468.32,55.42,53.3
19/06/2016,468.31,41.86,52.3
20/06/2016,468.2,37.44,53
21/06/2016,468.22,68.23,53.8
22/06/2016,468.27,57.88,53.5
23/06/2016,468.3,61.83,44.2
24/06/2016,468.38,53.66,55.2
25/06/2016,468.35,48.81,53.4
26/06/2016,468.38,78.66,52.5
27/06/2016,468.77,170.84,50.7
28/06/2016,469.36,132.47,53.6
29/06/2016,469.67,96.52,62.6
30/06/2016,469.78,73.87,63.9
01/07/2016,469.81,69.47,61.8
02/07/2016,469.81,49.72,56.1
03/07/2016,469.8,45.06,50.9
04/07/2016,469.74,48.99,55.5
05/07/2016,469.7,75.81,66.2
06/07/2016,469.88,101.39,56
07/07/2016,469.99,80.7,56.6
08/07/2016,470.1,60.01,57.2
09/07/2016,470.02,45.19,90.9
10/07/2016,469.9,57.8,33
11/07/2016,469.92,74.38,110.1
12/07/2016,469.66,58.68,119.1
13/07/2016,469.38,56.48,113.5
14/07/2016,468.93,52.46,147.6
15/07/2016,468.39,69.02,149.9
16/07/2016,468.14,70.2,110
17/07/2016,468.01,65.73,82.1
18/07/2016,467.93,74.41,77.5
19/07/2016,468,128.58,77.2
20/07/2016,468.23,108.76,101.8
21/07/2016,468.22,104.67,119.9
22/07/2016,468.08,123.62,140.7
23/07/2016,468.1,104.63,83.1
24/07/2016,468.22,102.01,78.3
25/07/2016,468.26,84.99,115.3
26/07/2016,468.01,95.76,143.4
27/07/2016,467.72,91.09,144.9
28/07/2016,467.74,80.08,142.6
29/07/2016,467.13,66.94,123.4
30/07/2016,466.87,69.2,107.3
31/07/2016,466.79,68.4,51.2
01/08/2016,466.61,74.46,109.1
02/08/2016,466.63,93.21,90.8
03/08/2016,466.79,135.98,91.6
04/08/2016,466.87,87.72,107.8
05/08/2016,466.76,78.15,84.5
06/08/2016,466.8,91.85,71.7
07/08/2016,466.95,88.05,66.1
08/08/2016,466.99,84.31,107.3
09/08/2016,466.67,69.8,132.9
10/08/2016,466.36,67.69,122.7
11/08/2016,466.21,86.55,96.9
12/08/2016,466.16,87.83,90.4
13/08/2016,466.19,75.32,46.1
14/08/2016,466.43,81.72,30.5
15/08/2016,466.57,74.97,79
16/08/2016,466.55,78.79,83.8
17/08/2016,466.5,80.65,95.7
18/08/2016,466.42,100.96,109.3
19/08/2016,466.45,100.25,90.4
20/08/2016,466.49,93.69,71.8
21/08/2016,466.72,107.67,56.6
22/08/2016,467.09,183.42,86.4
23/08/2016,467.57,176.83,110.1
24/08/2016,467.85,154.73,108.1
25/08/2016,467.94,131.38,149.3
26/08/2016,467.72,113.9,164.8
27/08/2016,467.43,102.6,159
28/08/2016,467.29,96.94,94.9
29/08/2016,467.21,94.41,139.8
30/08/2016,466.86,91.86,164
31/08/2016,466.72,90.49,68
01/09/2016,466.75,82.4,95
02/09/2016,466.8,74.51,47
03/09/2016,466.87,72.88,81
04/09/2016,466.81,69.33,99.3
05/09/2016,466.56,76.88,132.2
06/09/2016,466.11,67.93,162.6
07/09/2016,465.85,70.41,77.4
08/09/2016,465.85,74.2,64.8
09/09/2016,465.91,69.97,51.5
10/09/2016,466.03,79.33,59.1
11/09/2016,466.18,72.74,42.1
12/09/2016,466.18,72.74,42.1
13/09/2016,466.91,169.6,6.2
14/09/2016,467.64,111.84,0
15/09/2016,468.22,123.99,21.1
16/09/2016,468.8,121.3,9.9
17/09/2016,469.33,97.39,19.7
18/09/2016,469.76,100.38,16.8
19/09/2016,470.21,115.22,18.6
20/09/2016,470.68,154.73,28.7
21/09/2016,471.31,174.04,29.9
22/09/2016,472.01,184.55,28.8
23/09/2016,472.7,145.05,31.9
24/09/2016,473.14,130.06,29.2
25/09/2016,473.71,169.67,21.4
26/09/2016,474.49,188.45,29.7
27/09/2016,475.09,157.49,36.9
28/09/2016,475.53,155.67,34.8
29/09/2016,476.06,183.46,28.2
30/09/2016,476.75,222,32
01/10/2016,477.35,163.04,37.1
02/10/2016,477.79,151.81,44.5
03/10/2016,478.25,175.45,34.8
04/10/2016,478.73,140.58,35.3
05/10/2016,479.16,149.83,34.6
06/10/2016,479.61,152.9,35
07/10/2016,480.06,171.3,35.3
08/10/2016,480.49,184.84,31.5
09/10/2016,481.17,301.56,24.9
10/10/2016,481.84,249.61,34.3
11/10/2016,482.51,264.55,75.8
12/10/2016,483.03,199.16,51
13/10/2016,483.4,186.61,79.3
14/10/2016,483.8,192.37,42.3
15/10/2016,484.21,232.37,112.7
16/10/2016,484.37,201.69,171.8
17/10/2016,484.61,219.91,134.3
18/10/2016,484.8,179.67,135.5
19/10/2016,484.85,212.84,181.7
20/10/2016,484.99,250.75,184.7
21/10/2016,485.18,263.6,184
22/10/2016,485.32,220.8,184
23/10/2016,485.47,294.4,184
24/10/2016,485.71,255.81,182
25/10/2016,485.83,213.17,182
26/10/2016,485.88,193.02,183.2
27/10/2016,485.87,173.29,184
28/10/2016,485.85,167.88,184
29/10/2016,485.8,172.7,184
30/10/2016,485.78,171.13,177.5
31/10/2016,485.86,160.67,132.8
01/11/2016,485.8,141.76,184
02/11/2016,485.7,147.67,183.4
03/11/2016,485.72,344,178.1
04/11/2016,486.66,758.34,336.9
05/11/2016,487.1,499.49,503
06/11/2016,487.06,384.27,366.7
07/11/2016,487.22,319.63,204.9
08/11/2016,487.45,245.01,197.9
